Time (s),Error (m),Avg Error (m),v (m/s),w (rad/s)
0.0,0.09945567037837476,0.09945567037837476,5.263516218397002e-05,3.85
0.0,0.09945567037837476,0.09945567037837476,5.263516218397002e-05,3.85
0.0,0.09945567037837476,0.09945567037837476,5.263516218397002e-05,3.85
0.0,0.09945567037837476,0.09945567037837476,5.263516218397002e-05,3.85
0.1,0.12944784739384543,0.1054541057814689,0.10331321583161304,3.85
0.1,0.12944784739384543,0.10945306271686499,0.10331321583161304,3.85
0.1,0.12944784739384543,0.11230946052786218,0.10331321583161304,3.85
0.1,0.12944784739384543,0.11445175888611009,0.10331321583161304,3.85
0.1,0.12944784739384543,0.11611799094252512,0.10331321583161304,3.85
0.2,0.15635853658253243,0.12014204550652585,0.2786110841891427,3.7393074207583554
0.2,0.15635853658253243,0.12343445378616281,0.2786110841891427,3.7393074207583554
0.2,0.15635853658253243,0.12617812735252695,0.2786110841891427,3.7393074207583554
0.2,0.15635853658253243,0.1284996972932966,0.2786110841891427,3.7393074207583554
0.2,0.15635853658253243,0.13048961438538487,0.2786110841891427,3.7393074207583554
0.3,0.17128588172068873,0.1332093655410718,0.33,2.4865544293619752
0.3,0.17128588172068873,0.13558914780229786,0.33,2.4865544293619752
0.3,0.17128588172068873,0.13768895567985026,0.33,2.4865544293619752
0.3,0.17128588172068873,0.13955545157100793,0.33,2.4865544293619752
0.3,0.17128588172068873,0.14122547421046483,0.33,2.4865544293619752
0.4,0.17524805478180197,0.14292660323903167,0.33,1.489568626954994
0.4,0.17524805478180197,0.1444657199791636,0.33,1.489568626954994
0.4,0.17524805478180197,0.14586491701564716,0.33,1.489568626954994
0.4,0.17524805478180197,0.1471424447446104,0.33,1.489568626954994
0.4,0.17524805478180197,0.1483135118294934,0.33,1.489568626954994
0.5,0.17570738060764707,0.14940926658061957,0.33,0.7201833268962421
0.5,0.17570738060764707,0.150420732504736,0.33,0.7201833268962421
0.5,0.17570738060764707,0.15135727502706603,0.33,0.7201833268962421
0.5,0.17570738060764707,0.15222692165494392,0.33,0.7201833268962421
0.5,0.17570738060764707,0.15303659265331299,0.33,0.7201833268962421
0.6,0.17432678320796333,0.15374626567180133,0.33,0.19351674003957697
0.6,0.17432678320796333,0.15441015333425817,0.33,0.19351674003957697
0.6,0.17432678320796333,0.15503254801781144,0.33,0.19351674003957697
0.6,0.17432678320796333,0.1556172218114524,0.33,0.19351674003957697
0.6,0.17432678320796333,0.15616750302899685,0.33,0.19351674003957697
0.7,0.17183441473912334,0.1566151290778576,0.33,-0.14426488246416103
0.7,0.17183441473912334,0.15703788701289276,0.33,-0.14426488246416103
0.7,0.17183441473912334,0.15743779316765574,0.33,-0.14426488246416103
0.7,0.17183441473912334,0.1578166516300628,0.33,-0.14426488246416103
0.7,0.17183441473912334,0.15817608145337206,0.33,-0.14426488246416103
0.8,0.1705352860621219,0.1584850615685908,0.33,-0.3570794419465111
0.8,0.1705352860621219,0.15877896948306716,0.33,-0.3570794419465111
0.8,0.1705352860621219,0.15905888178256844,0.33,-0.3570794419465111
0.8,0.1705352860621219,0.15932577490534874,0.33,-0.3570794419465111
0.8,0.1705352860621219,0.15958053652254814,0.33,-0.3570794419465111
0.9,0.16878303014911275,0.15978503638091623,0.33,-0.4605674988055899
0.9,0.16878303014911275,0.15998064494109443,0.33,-0.4605674988055899
0.9,0.16878303014911275,0.1601679297327544,0.33,-0.4605674988055899
0.9,0.16878303014911275,0.16034741099142855,0.33,-0.4605674988055899
0.9,0.16878303014911275,0.16051956648444252,0.33,-0.4605674988055899
1.0,0.16739163999253176,0.1606570079546043,0.33,-0.500257845379342
1.0,0.16739163999253176,0.16078905956319112,0.33,-0.500257845379342
1.0,0.16739163999253176,0.16091603226375537,0.33,-0.500257845379342
1.0,0.16739163999253176,0.16103821354165682,0.33,-0.500257845379342
1.0,0.16739163999253176,0.1611558695870434,0.33,-0.500257845379342
1.1,0.16589097634013353,0.16124196243709957,0.33,-0.5220314645211479
1.1,0.16589097634013353,0.1613249805425109,0.33,-0.5220314645211479
1.1,0.16589097634013353,0.16140508573194287,0.33,-0.5220314645211479
1.1,0.16589097634013353,0.16148242867346338,0.33,-0.5220314645211479
1.1,0.16589097634013353,0.1615571498203561,0.33,-0.5220314645211479
