Time (s),Error (m),Avg Error (m),v (m/s),w (rad/s)
0.0,0.000212381614680769,0.000212381614680769,-0.0002576193925291212,3.85
0.1,0.032542053754495905,0.016377217684588337,0.04378662028030724,3.85
0.2,0.06424579863830532,0.03233341133582733,0.11676636220476685,3.6799435815483656
0.2,0.06398167192989115,0.04024547648434329,0.1206244224564705,3.5650412781611065
0.3,0.08982376405441478,0.05016113399835759,0.21301882404314465,2.636642687003349
0.3,0.0888727560749492,0.05661307101112286,0.21451309213925213,2.543380362477835
0.4,0.10458304243581061,0.06346592407179254,0.28341519500199064,1.7734169407862443
0.5,0.11538045263407606,0.06995524014207798,0.33,1.1961538596813832
0.5,0.11297235062152024,0.07473491908423822,0.3249057220412199,1.1541855325020292
0.6,0.11824160397559573,0.07908558757337397,0.33,0.6742529078580848
0.6,0.11518873658886004,0.08236769202932726,0.33,0.6458977286053846
0.7,0.11776177927896747,0.0853171993001306,0.33,0.2746064822845522
0.7,0.11456483383236941,0.08756701734107206,0.33,0.25805566358859
0.8,0.11605299816400858,0.0896017302569961,0.33,-0.03915267341181394
0.8,0.11274872816111671,0.09114486345060414,0.33,-0.05217188469749168
0.9,0.11411428700707744,0.09258045242288372,0.33,-0.2494086987942774
0.9,0.11081699702446665,0.09365319034062389,0.33,-0.25449687299741
1.0,0.11206809871782183,0.09467624080602377,0.33,-0.3658331533965695
1.1,0.1103973800771594,0.09550366918871511,0.32948388853958444,-0.40644122816218603
1.1,0.10722507439108633,0.09608973944883367,0.32004048293398274,-0.4034360044347496
1.2,0.10813667338912221,0.0966634029697998,0.32279353224661067,-0.3994795863541123
1.2,0.10495027716476459,0.09704007906957092,0.31329834091572745,-0.3973888426762988
1.3,0.1066357453473158,0.097457281951212,0.31867926810795427,-0.3505867421656861
1.3,0.10358391727514273,0.09771255842304245,0.30959951585183115,-0.34456661468387395
1.4,0.10500426795924217,0.09800422680449045,0.31431045727269785,-0.2671574896712068
1.4,0.10198635576055604,0.09815738561049295,0.3053067017810025,-0.2612558446727329
1.5,0.10257873068780352,0.09832113913187482,0.30735857931425925,-0.19817708898319797
1.5,0.09952815300003826,0.09836424677002352,0.2982307278008096,-0.1947246614930629
1.6,0.0997510564817689,0.09841206779456646,0.29905022170835793,-0.14732357988786493
1.6,0.09676952427497246,0.09835731634391333,0.29011791050950786,-0.14497771879054966
1.7,0.09698964498301776,0.0983131979129167,0.29086138097988656,-0.10876227337123723
1.7,0.09408847587026664,0.09818117534908388,0.28216446348297947,-0.10698986516537357
1.8,0.09430881253363209,0.09806383102134292,0.2828644797292241,-0.08371328697978964
1.8,0.0914869319698273,0.0978703928139454,0.274402402291984,-0.08251354017680868
