Time (s),Error (m),RMS_Err (m),v (m/s),w (rad/s)
0.0,4.052323206254307e-05,4.052323206254307e-05,0.0,0.0
0.1,0.001226297193983279,0.0008675963751388253,0.0001226297193983279,0.1605739491509474
0.1,0.0028449735945480564,0.0017887911834517135,0.00028449735945480564,0.16331513467767386
0.2,0.004893718704469929,0.0028960233274467327,0.0009787437408939857,0.3284652493996909
0.2,0.007246338592762395,0.004148667917619348,0.0014492677185524792,0.3334516232691611
0.3,0.010113149564318179,0.005602574134028174,0.0030339448692954536,0.49721062738913624
0.3,0.013332951975384517,0.007231880114579958,0.003999885592615355,0.48383772391098134
0.4,0.01701982499089552,0.009053832563218124,0.0068079299963582085,0.6427438658433523
0.4,0.020958224465098842,0.011030373446845047,0.008383289786039538,0.624698538340649
0.5,0.025442595575511467,0.01319980270689988,0.012721297787755733,0.7753533590785838
0.5,0.02993524521010627,0.015487434263709651,0.014967622605053134,0.7541951570263339
0.6,0.035209542960089546,0.017977251217993987,0.021125725776053726,0.8965791154048459
0.6,0.04023908213162161,0.02056390128179024,0.024143449278972967,0.8612021413888192
0.7,0.04628175947374512,0.023359555596065396,0.03239723163162158,0.9927186823342072
0.7,0.051591000400306376,0.026205591069265854,0.03611370028021446,0.9470001678467699
0.8,0.05837106834608146,0.029270480724194112,0.04669685467686517,1.0661270811475692
0.8,0.06344449669052726,0.03229767869050893,0.050755597352421813,1.0042551263010642
0.9,0.07116467639171038,0.03558853747694137,0.06404820875253935,1.1147014533692887
0.9,0.07627782204190062,0.03880863857368394,0.06865003983771056,1.0550864347588975
1.0,0.08477799556006463,0.04231040454905631,0.08477799556006463,1.1539341199189663
1.0,0.08896749803580509,0.045627175678769435,0.08896749803580509,1.068354444074807
1.1,0.09822608195968012,0.04925212757102565,0.10804869015564814,1.1523187891710638
1.1,0.1013153120085842,0.05259846997005738,0.11144684320944262,1.0582941430197408
1.2,0.11058895119458508,0.0562219167376448,0.13270674143350208,1.1179784634386623
1.2,0.11295579025983703,0.059538459729131805,0.13554694831180442,1.02370410131072
1.3,0.12271397201984902,0.0631480018570003,0.15952816362580372,1.066757187294291
1.3,0.13381159375676252,0.06710549081291761,0.17395507188379128,1.0368495980561119
1.4,0.133737874644007,0.07057690469567969,0.18723302450160978,0.9915161863536417
1.4,0.13230694686276123,0.07357283829952442,0.18522972560786571,0.8696732882794225
1.5,0.14209041837089897,0.07684738133053248,0.21313562755634846,0.8782272668017728
1.5,0.13858278116623168,0.07958983314805167,0.20787417174934752,0.7665278179802231
1.6,0.14820437142080814,0.08260132479733842,0.23712699427329303,0.7649467412857568
1.6,0.1593763826099072,0.08594151549051852,0.2550022121758515,0.7260414869189894
1.7,0.15189699526552386,0.08858509567398139,0.25822489195139053,0.6106083419732722
1.7,0.1400820760463164,0.09046417443998366,0.23813952927873785,0.47968011114548575
1.8,0.15105761412750549,0.09268378780453629,0.27190370542950987,0.4577529198783999
1.8,0.13878633831619477,0.09422685255762178,0.2498154089691506,0.33412871865352656
1.9,0.14968206411361804,0.09609707411138155,0.28439592181587425,0.30169392303778464
1.9,0.1605596787878907,0.09827956216803274,0.3050633896969923,0.25746881323394627
2.0,0.1469170649554608,0.099784849204776,0.2938341299109216,0.16958162244411024
2.0,0.13116709315297306,0.10066673483052348,0.2623341863059461,0.07081546695064245
2.1,0.13885917889771165,0.10174282742042998,0.2777183577954233,0.015076018747448572
2.1,0.14954667200637511,0.10310657505384001,0.29909334401275023,-0.02664843234628589
2.2,0.13329704484946003,0.10389019907366842,0.26659408969892007,-0.13950457849969733
2.2,0.11769480011932971,0.10421683574505747,0.23538960023865943,-0.21363545111412408
2.3,0.1251359826060828,0.10471604591494944,0.2502719652121656,-0.2536931267746185
2.3,0.13545096831009182,0.10546328163393963,0.27090193662018364,-0.2836880586016819
2.4,0.12179249607225844,0.10582917538720275,0.24358499214451687,-0.3228123833454768
2.4,0.10879765463940358,0.10589058842045988,0.21759530927880716,-0.35298421567092325
2.5,0.11615668038270055,0.1061056448529539,0.2323133607654011,-0.3699140415822148
2.5,0.10665315273853557,0.10611640745344732,0.21330630547707113,-0.3703148289781659
2.6,0.1142602392077662,0.10627890473219911,0.2285204784155324,-0.37594001468174265
2.6,0.105457957272685,0.10626347386159288,0.21091591454537,-0.3379196714842583
2.7,0.11291534570042094,0.10639043632028536,0.2258306914008419,-0.33623686457959917
2.7,0.1222391598425897,0.10669960884155444,0.2444783196851794,-0.3402263432865973
2.8,0.11120343677831696,0.10678170015545807,0.2224068735566339,-0.2910154629391557
2.8,0.09988180394836335,0.10666449598337047,0.1997636078967267,-0.21307203185542223
2.9,0.10638133153566873,0.10665962020664792,0.21276266307133745,-0.20610939858776867
2.9,0.11512233109487234,0.10680864220326876,0.23024466218974468,-0.20484640173621882
3.0,0.10402967303735333,0.10676291879528411,0.20805934607470666,-0.19180025914740106
3.0,0.09287010861874988,0.10654977339608372,0.18574021723749976,-0.15639998811829248
3.1,0.09889531255331732,0.10643068240160206,0.19779062510663464,-0.14992157118284843
3.1,0.09035347439409777,0.10619450110089382,0.18070694878819554,-0.13254486060138804
3.2,0.0965529611145206,0.10605059334583612,0.1931059222290412,-0.12823738700562426
3.2,0.08858432414411711,0.10580372225677853,0.17716864828823423,-0.12444696298518931
3.3,0.09454458203105574,0.10564208261086012,0.1890891640621115,-0.12122453097738473
3.3,0.08631845050011863,0.10537972203675904,0.17263690100023726,-0.10287876396129081
3.4,0.09190586056575292,0.10519408091956531,0.18381172113150585,-0.09824978826981678
3.4,0.09910832996513931,0.1051083980141039,0.19821665993027862,-0.09718154176168678
3.5,0.0893429596696676,0.10489986125728495,0.1786859193393352,-0.08600174227317159
3.5,0.07901294588752208,0.10457975647994044,0.15802589177504417,-0.07360223817610567
3.6,0.08386901054356063,0.1043202680166823,0.16773802108712127,-0.07148118996899633
3.6,0.07578277870513436,0.10398226590905779,0.15156555741026873,-0.06347754177606746
3.7,0.08063149471827048,0.10370176745750603,0.16126298943654097,-0.0632222717829043
3.7,0.07318089912070909,0.10335412460455906,0.14636179824141818,-0.05626689028630871
3.8,0.07779055030667326,0.1030589381817332,0.1555811006133465,-0.05753818378269471
3.8,0.07052595752001367,0.1027025025845666,0.14105191504002734,-0.053061156139898036
3.9,0.07488944091162643,0.10239374349997961,0.14977888182325286,-0.0557643975472949
3.9,0.06780599987086625,0.10202922098426223,0.1356119997417325,-0.05376055071534047
4.0,0.07193126935787389,0.10170798274651387,0.14386253871574778,-0.057707224926976
4.0,0.06504885439096435,0.1013362849111314,0.1300977087819287,-0.05662245831323953
4.1,0.06894536497469321,0.10100385872599146,0.13789072994938642,-0.061563375253175234
4.1,0.062298207032414586,0.1006261711004358,0.12459641406482917,-0.06292700038974341
4.2,0.06597601187664127,0.10028410937959283,0.13195202375328255,-0.06907195803674526
4.2,0.05953726734196772,0.09990139280095046,0.11907453468393545,-0.07365930584506208
4.3,0.06300643946139417,0.09955098702494085,0.12601287892278834,-0.0804887361254294
4.3,0.055616821947873665,0.09915664759977254,0.11123364389574733,-0.08492974375627393
4.4,0.060078816049732406,0.09879944162398309,0.12015763209946481,-0.09222939803712116
4.4,0.05430672456246217,0.0984113261312589,0.10861344912492434,-0.08821664127394713
4.5,0.05741587213695844,0.09805003333018328,0.11483174427391687,-0.09537321742429927
4.5,0.05171573766334041,0.09766039670893675,0.10343147532668082,-0.09963438942295633
4.6,0.054622000213940786,0.09729498477143239,0.10924400042788157,-0.10714511882016287
4.6,0.04976562909371637,0.09690797716274215,0.09953125818743273,-0.09788073283049437
4.7,0.042928772955192124,0.09649277291096765,0.08585754591038425,-0.09896866094596124
4.7,0.04659964277005509,0.09610257227330044,0.09319928554011019,-0.10684895040705397
4.8,0.05016910997792398,0.09573775255454489,0.10033821995584796,-0.11478014175424389
4.8,0.045521170736386625,0.09535506270234752,0.09104234147277325,-0.13100057722380065
4.9,0.04796695109587417,0.09499096964305857,0.09593390219174834,-0.1385993544000489
4.9,0.04303836523546594,0.09460893265253466,0.08607673047093188,-0.1403565253965926
5.0,0.04532492496437444,0.09424375376917869,0.09064984992874887,-0.14728895689236343
5.0,0.040631553915372876,0.09386315273749934,0.08126310783074575,-0.148068342232728
5.1,0.042798495195406565,0.0934979892210715,0.08559699039081313,-0.15455137986374656
5.1,0.03840359236814197,0.09311992386487988,0.07680718473628394,-0.14362614185176345
5.2,0.041271642609769746,0.09275947656364646,0.08254328521953949,-0.1504311294191638
5.2,0.037369693131017505,0.09238871427523833,0.07473938626203501,-0.14523657506967858
5.3,0.03932304916849679,0.09203117434122418,0.07864609833699358,-0.15101745069404715
5.3,0.041972917860008216,0.09168994141675804,0.08394583572001643,-0.15783912636364128
5.4,0.03706405298173182,0.09133412394342243,0.07412810596346364,-0.1560218104855331
5.4,0.032148304145389994,0.09096632659985383,0.06429660829077999,-0.16759732321015175
5.5,0.033765157046909404,0.09060911034433826,0.06753031409381881,-0.17360833390648844
5.5,0.036159120559702856,0.0902653085772599,0.07231824111940571,-0.17976109519473418
5.6,0.025423408389025248,0.08989353962400953,0.050846816778050495,-0.17819016291812428
5.6,0.026981731944686914,0.08953088368448363,0.05396346388937383,-0.18201501606528048
5.7,0.02920733326351839,0.0891793044191563,0.05841466652703678,-0.18634053288733599
5.7,0.03138041964958903,0.08883892806742377,0.06276083929917806,-0.19137050296395186
5.8,0.028412132041971724,0.08849450062626109,0.05682426408394345,-0.16725068313235558
5.8,0.02496100808287262,0.08814571959448725,0.04992201616574524,-0.16029613519149877
5.9,0.026362277750718095,0.08780497032277847,0.05272455550143619,-0.16312614623318655
5.9,0.02834491088786491,0.08747386384940446,0.05668982177572982,-0.16770947207362363
6.0,0.02529324453570414,0.08713922261586612,0.05058648907140828,-0.16168973319868174
6.0,0.027190825494151694,0.08681359507934942,0.05438165098830339,-0.16634021772457896
6.1,0.023492133520891755,0.08648322662635714,0.04698426704178351,-0.16142104663196144
6.1,0.02039072234247984,0.08615057233872997,0.04078144468495968,-0.16181246549293504
6.2,0.021629632640576157,0.08582447100397603,0.043259265281152315,-0.16489412898390252
6.2,0.02337540252213491,0.08550604879230474,0.04675080504426982,-0.16895960934694584
6.3,0.016830903052297043,0.08517926133723391,0.033661806104594086,-0.14293826711545632
6.3,0.018509106495475547,0.08485914284650903,0.037018212990951094,-0.14505475291952497
6.4,0.02015519256112335,0.0845457829751594,0.0403103851222467,-0.14847023051755615
6.4,0.01826026103760803,0.08423279309254643,0.03652052207521606,-0.13408860767986397
6.5,0.019487935407761375,0.08392560177720645,0.03897587081552275,-0.13631814919629848
6.5,0.017492113686118166,0.08361862882850284,0.03498422737223633,-0.12632247312201206
6.6,0.019021493638597564,0.0833177403731907,0.03804298727719513,-0.1308097972083725
6.6,0.017356766426665133,0.08301756816422139,0.034713532853330266,-0.11870717285678878
6.7,0.018484650086955514,0.08272263461784256,0.03696930017391103,-0.12191266477302587
6.7,0.01681224830083377,0.08242838620014427,0.03362449660166754,-0.11183396325908745
6.8,0.017894513967847376,0.0821391152517718,0.03578902793569475,-0.11582317965940014
6.8,0.016261287130603538,0.0818505799064443,0.032522574261207075,-0.10755101911247919
6.9,0.017309649597460043,0.08156679098409299,0.034619299194920086,-0.11231344533017484
6.9,0.01573208038355327,0.08128380914165882,0.03146416076710654,-0.10550832719234937
7.0,0.016749957324783887,0.08100536011553587,0.03349991464956777,-0.11097472642399575
