Time (s),Inst_Error (m),RMS_Error (m),v (m/s),w (rad/s)
0.1,0.09991504167065622,0.09991504167065622,0.005366411248845614,0.2
0.1,0.10079561754582365,0.10035629543903293,0.00938064481284219,0.4
0.2,0.10202782184964787,0.10091654720589088,0.013557103738676402,0.6000000000000001
0.2,0.10365169381899646,0.10160723661657102,0.017859240707247696,0.8
0.3,0.10554855896681402,0.10240763685526037,0.029952133823929042,1.0
0.3,0.10790847430149868,0.1033447783372658,0.0352401016527294,1.2
0.4,0.11026313210876526,0.10436119801638553,0.05124106373954891,1.4
0.4,0.1133577639864577,0.10552772160427568,0.057722514244701845,1.5999999999999999
0.5,0.11684349066720788,0.10684422800778398,0.06485489719987639,1.7999999999999998
0.5,0.11947205204439076,0.108173366753056,0.08808422741342398,1.9999999999999998
0.6,0.12367782320708223,0.10967347267732933,0.09716514480269056,2.1999999999999997
0.6,0.12828787691551088,0.1113435958582124,0.10574390269512828,2.3414211320604488
0.7,0.13035835312607866,0.11292000445972177,0.13788154439676925,2.1414211320604486
0.7,0.13566390268438247,0.11469423661723503,0.1484369615808312,2.0122989708698085
0.8,0.13612934206553262,0.11624627551198904,0.18476772187120974,1.8122989708698085
0.8,0.14210694968183482,0.11802868658296976,0.19738714467166246,1.6122989708698086
0.9,0.12635631139127654,0.11853474326428859,0.22868316646795211,1.4122989708698086
0.9,0.13263182422440337,0.1193616009186457,0.24345682375049327,1.2122989708698086
1.0,0.1393747678516251,0.1204978221780074,0.26139031357254994,1.0122989708698087
1.0,0.1287262478867457,0.12092254230254405,0.26689728961899606,0.8122989708698087
1.1,0.13602855056345442,0.12168440665970338,0.286061151250616,0.6122989708698088
1.1,0.12213982437125584,0.1217051444352379,0.28356514154622087,0.41229897086980877
1.2,0.13001387863362407,0.1220781532713698,0.30365844324734065,0.21229897086980876
1.2,0.11347212511003932,0.12173171659746858,0.2952236456723231,0.012298970869808745
1.3,0.12195413509582023,0.12174062113943125,0.3161070867708635,-0.18770102913019127
1.3,0.13102096641662903,0.12211060001334711,0.33,-0.3156653087618844
1.4,0.11347664476495704,0.12180173833114921,0.32690692032656027,-0.41136516136951917
1.4,0.09459590036097591,0.12093553445037312,0.3138102615003388,-0.3557490811629879
1.5,0.10441388922554422,0.1204035682340896,0.33,-0.3761594792406434
1.5,0.08498723592194085,0.11939240460643252,0.3215907160768944,-0.2778990560618052
1.6,0.09543482871322578,0.11869508167959607,0.33,-0.2988207555918905
1.6,0.07757570154339408,0.11762788045525378,0.3271051317874086,-0.23081553804320962
1.7,0.08815444012981427,0.11684402834123686,0.33,-0.24990286013399843
1.7,0.09915068804010375,0.11636204260158972,0.33,-0.26810282756886866
1.8,0.08057968073195533,0.1154936403360989,0.33,-0.18788739494290835
1.8,0.062001880496694646,0.11434615655957334,0.309362957381873,-0.10016739402611054
1.9,0.046262998517601094,0.11304649028702234,0.2856922080133852,-0.04264770899338652
1.9,0.05492758924668316,0.11190443194863386,0.2995108908105769,-0.05766060444009115
2.0,0.06470704051381097,0.11094534030755639,0.3159204594939797,-0.0707634357081863
2.0,0.04953558340466128,0.10982937299803505,0.2914036787358285,-0.06479514969384138
2.1,0.03700139848794312,0.1086355229168061,0.26824896874340015,-0.057757496483422543
2.1,0.04431613204533777,0.10755205494651723,0.28268054918252156,-0.07462234952548528
2.2,0.053271285861720544,0.10660408167417451,0.29950115926757515,-0.08960463999212138
2.2,0.06312356286432895,0.10581449076538188,0.31426291887283764,-0.10797801586195932
