Time (s),Error (m),Avg Error (m),v (m/s),w (rad/s)
0.1,0.1301120131465666,0.1301120131465666,0.06591147919515936,3.85
0.2,0.1609002363080887,0.14550612472732766,0.1400839105048068,3.85
0.3,0.1865506344200243,0.15918762795822652,0.24663189621991594,3.85
0.4,0.2021778626092473,0.16993518662098173,0.33,3.6620267015837236
0.5,0.20602181280479812,0.177152511857745,0.33,0.5690013586125694
0.6,0.20429569056280575,0.18167637497525513,0.33,-0.7494261801412754
0.7,0.20307296745038264,0.1847330310431305,0.33,-0.7377565555403929
0.8,0.20148906742877434,0.18682753559133597,0.33,-0.32740829247119935
0.9,0.19971695009986823,0.18825969275895066,0.33,-0.07071971088012352
1.0,0.19697773030530896,0.1891314965135865,0.33,-0.019608308673160515
1.1,0.1936207849148899,0.18953961364097774,0.33,-0.06113380623567494
1.2,0.18976599453832318,0.1895584787157565,0.33,-0.10505037874760648
1.3,0.18537870047912988,0.18923695731293907,0.33,-0.128029201803167
1.4,0.18042590636985348,0.1886075965312901,0.33,-0.13588228017795048
1.5,0.1748687692309377,0.1876916747112666,0.33,-0.1385406936318207
1.6,0.16866558135565124,0.18650254387654064,0.33,-0.14158610728112686
1.7,0.16177523608162314,0.18504799635919256,0.33,-0.14672965770298102
1.8,0.15415896929692638,0.18333193930017777,0.33,-0.15401243043085763
1.9,0.14579295323115515,0.18135620319128185,0.33,-0.1637391584246662
2.0,0.1372109945095584,0.17914894275719567,0.33,-0.18855122895785462
2.1,0.1274668055517124,0.17668788860455362,0.33,-0.18859659765337172
2.2,0.11662045233744367,0.17395755059241225,0.33,-0.2010771114646844
2.3,0.10489860179755457,0.17095498760133146,0.3248861158171753,-0.21899874195299104
2.4,0.09265027678706714,0.1676922913174038,0.31188884754658175,-0.24433151705328118
2.5,0.08093525465056162,0.16422200985073007,0.29441788047186535,-0.279174042800038
2.6,0.0705257989548962,0.16061830943165953,0.27489512898976326,-0.33549946638287576
2.7,0.060665958990218545,0.156916370526421,0.25452132578733616,-0.3842471976174105
2.8,0.052098341943087545,0.15317286950558764,0.23435961478623502,-0.44354042573538466
2.9,0.044584643320470435,0.1494284479129974,0.2150180700587492,-0.501471274675394
3.0,0.03837247516521924,0.1457265821547381,0.19697107508652265,-0.5726531458056016
3.1,0.03323090511246373,0.14209768934692282,0.1804043095120036,-0.6727997948328979
3.2,0.028663347402845738,0.1385528661611704,0.16541812827872654,-0.7553651066778004
3.3,0.02494014879090026,0.1351100565438895,0.15205951906151957,-0.8759740564663875
3.4,0.0219104975465655,0.13178065774985057,0.14053246942616576,-1.003773464397267
3.5,0.019935120826504827,0.12858507098061212,0.13117202917832377,-1.1364524310001112
3.6,0.01912436351365108,0.1255444957731965,0.12414430936827239,-1.3013753549920941
3.7,0.01945278216920738,0.12267715216227788,0.11968330645189261,-1.4989961065137827
3.8,0.018887075648370055,0.1199458343592803,0.11738282247157723,-1.5587905326736005
3.9,0.01779329977373646,0.11732653860067661,0.11712920222804689,-1.499744161216416
4.0,0.015835242931177405,0.11478925620893914,0.11854039179615684,-1.2857006096550445
4.1,0.014144362356757346,0.11233450270034934,0.12098323968730465,-1.1542170436832109
4.2,0.012344673565729927,0.10995379248285839,0.12402872357998082,-1.1263894524537021
4.3,0.010590543085860759,0.10764301924106774,0.1278798266735796,-1.101689496349202
4.4,0.009056098321213053,0.10540240740198013,0.1327071024349325,-1.0470432894623534
