Time (s),Inst_Error (m),RMS_Error (m),v (m/s),w (rad/s)
0.1,3.734385925587808,3.734385925587808,0.04000000000000001,-0.2
0.2,3.7188936261843586,3.7266478264053173,0.08000000000000002,-0.1935780549719271
0.3,3.718425635062078,3.7239091130866666,0.12000000000000002,-0.1861380662764076
0.4,3.7120977689543024,3.7209597919711954,0.16000000000000003,-0.17527832474849522
0.5,3.7049298287885324,3.7177593286847475,0.20000000000000004,-0.16316645282940065
0.6,3.6853279159276613,3.712373768404524,0.24000000000000005,-0.14729426530911233
0.7,3.6844037503208846,3.708390967472216,0.25,-0.13687362213166632
0.8,3.6592393819698086,3.7022827051017697,0.25,-0.11896794228608673
0.9,3.645810750092029,3.6960506528132613,0.25,-0.10371739084570611
1.2,3.632488313266483,3.6897436929883027,0.25,-0.0944807309582965
1.3,3.596964807137854,3.6814058705788653,0.25,-0.07112991878138589
1.4,3.5955292502514666,3.6743261469811457,0.25,-0.05389215992444802
1.5,3.583267892925663,3.667401935190881,0.25,-0.03303950460831939
1.6,3.5610085290605706,3.6599049768030256,0.25,-0.009717263702843086
1.7,3.55928224855885,3.6532830191860026,0.25,0.012834287937035734
1.8,3.5474875913382022,3.646760724300321,0.25,0.03748501281187347
1.9,3.535770048475086,3.6403255374831516,0.25,0.0627100055716556
2.0,3.5240865487767348,3.6339653603479083,0.25,0.08791606316293472
2.1,3.512392884078803,3.627668383381147,0.25,0.11241801672956059
2.2,3.5007417721839205,3.6214277091458964,0.25,0.13538879038397691
2.3,3.479188064775641,3.6147813122384256,0.25,0.14914933479117384
2.4,3.4670562168256045,3.608197746118617,0.25,0.16439937952609993
2.5,3.464647569636102,3.602075393520203,0.25,0.18413827404014163
2.6,3.4421108206469158,3.595552293780819,0.25,0.1771132204510453
2.7,3.4396558944661813,3.5894464409311704,0.25,0.19365283263326566
2.8,3.426918175310839,3.5833316683913887,0.25,0.19973806589411391
2.9,3.414010326876276,3.5772034312984906,0.25,0.20632949458559324
3.0,3.4009182223195964,3.5710573827001117,0.25,0.2124823268989876
3.1,3.3876741433231,3.5648908642983397,0.25,0.19023462305097755
3.2,3.374054926245164,3.5586945452965115,0.25,0.16084064290198183
3.3,3.3481683682426415,3.5520981415522845,0.25,0.11081335749956635
3.4,3.345899860332643,3.5458359526491114,0.25,0.10965046560168977
3.5,3.3315186508286723,3.5395321545838483,0.25,0.09217061314389424
3.6,3.317050299746398,3.5331885387457866,0.25,0.07577204218663006
3.7,3.2901139208442127,3.5264760724033555,0.25,0.050552159891285135
3.8,3.2755517707935007,3.5197475111714622,0.25,0.04184713111535697
