Time (s),Inst_Error (m),RMS_Error (m),v (m/s),w (rad/s)
0.1,9.142262084388939,9.142262084388939,0.04000000000000001,-0.012510590823863587
0.2,9.143387514540676,9.14282481678157,0.08000000000000002,-0.03715127155422717
0.3,9.14444382044141,9.143364516520947,0.12000000000000002,-0.0631853344924762
0.4,9.146764376720261,9.14421460007859,0.16000000000000003,-0.09076944658743183
0.5,9.146349122254765,9.144641544372664,0.20000000000000004,-0.11993053772025412
0.6,9.14719816967655,9.145067698224604,0.24000000000000005,-0.15092833340020592
0.7,9.147978196608872,9.145483540417233,0.25,-0.18389771774622496
0.8,9.148689250724896,9.145884315654138,0.25,-0.21903208127103932
0.9,9.149331389373057,9.146267388000382,0.25,-0.2565511496926682
1.0,9.149904680187062,9.14663118230807,0.25,-0.2967056700083387
1.1,9.150409201763425,9.146974703103753,0.25,-0.3397831382080518
1.2,9.150845044406179,9.147297294092542,0.25,-0.38611484914717076
1.3,9.151212310938373,9.147598508721893,0.25,-0.436084638906926
1.4,9.151511117579995,9.147878036280222,0.25,-0.49013981348251473
1.5,9.151741594891751,9.14813565761857,0.25,-0.5487819645456833
1.6,9.153237775294288,9.148454623336526,0.25,-0.6119139807292118
1.7,9.151998161592143,9.14866310475678,0.25,-0.6788529251206704
1.8,9.15202459321198,9.148849886517317,0.25,-0.7496796504438618
1.9,9.151983382304184,9.149014834104081,0.25,-0.8238588375350993
2.0,9.151874747557272,9.149157851008612,0.25,-0.9008953355999478
2.1,9.151698929014138,9.149278870726498,0.25,-0.9801624862444833
2.2,9.152790045357845,9.149438498805097,0.25,-1.061076325732385
2.3,9.152480647251776,9.149570787161666,0.25,-1.1421379182674654
2.4,9.150773048058998,9.149620884519779,0.25,-1.222280645722319
2.5,9.150401574862263,9.149652113412431,0.25,-1.3150126008138048
2.6,9.15003246560305,9.149666742635207,0.25,-1.4232147111019546
2.7,9.150999499873,9.149716107476252,0.25,-1.5
2.8,9.150635295203163,9.149748937199428,0.25,-1.5
2.9,9.150273661424656,9.149767031639168,0.25,-1.5
3.0,9.148581049529476,9.14972750137888,0.25,-1.5
3.1,9.149558381420286,9.149722045945136,0.25,-1.5
3.2,9.14787131711894,9.149664216335783,0.25,-1.5
3.3,9.148854208120799,9.149639671685875,0.25,-1.5
3.4,9.147172965295114,9.149567130989972,0.25,-1.5
3.5,9.148161687347127,9.149526978453315,0.25,-1.5
3.6,9.146486538610164,9.149442535434048,0.25,-1.5
3.7,0.2004985440351721,9.02501471616336,0.21,-1.3
-1341.226,0.20204284927221253,8.90553313293816,0.16999999999999998,-1.1
-1341.226,0.20594002592261224,8.790680067337243,0.12999999999999998,-0.9000000000000001
-1341.126,0.20984029319559025,8.680164483973764,0.08999999999999997,-0.7000000000000002
-1341.126,0.21374322418483718,8.573720348121453,0.04999999999999996,-0.5000000000000002
-1341.026,0.21764841562353043,8.471103930635365,0.03395426360831566,-0.3000000000000002
-1341.026,0.22155548586940285,8.372091459663329,0.033948288768177064,-0.1000000000000002
4.0,0.22546407308969466,8.276477067615762,0.06070060959005122,0.09999999999999981
-1340.826,0.22937383362372832,8.184070990499933,0.0339357675198418,-0.005327517771927234
-1340.826,0.233284440503568,8.094697983757767,0.03392921810400287,-0.005500860198669999
4.1,0.2371955821155884,8.008195924500512,0.06407287787729281,0.19449913980133002
-1340.626,0.2411069609878454,7.924414574763035,0.03391554594146435,-0.005500860198669993
-1340.626,0.245018292689917,7.843214484305499,0.033908419836538445,-0.0060246535442651655
-1340.526,0.2489293048334536,7.764466014727561,0.033901102574929246,-0.006200581872932362
-1340.526,0.252839736163032,7.68804846935552,0.03389359075810045,-0.006377240539857055
4.4,0.25674933572809916,7.613849315615268,0.06968367946204553,0.19362275946014296
4.6,0.26065786212783637,7.541763488493288,0.0708043309392252,0.39362275946014297
-1340.226,0.2645650828216806,7.4716927652785845,0.033869900090496056,0.19362275946014296
-1340.226,0.2684707734990527,7.403545203122016,0.033861613764996905,-0.006377240539857054
-1340.126,0.2723747175025349,7.337234632088237,0.033853135011365026,-0.0072716977523387275
-1340.126,0.27627670529937287,7.27268019734361,0.033844459751663655,-0.007453012227838967
4.9,0.28017653399671755,7.209805944949073,0.07384445975166366,0.19254698777216103
-1339.926,0.28407400689650536,7.148540446433125,0.033844459751663655,-0.007453012227838979
-1339.926,0.28796893308631266,7.0888164579257635,0.03381726750100815,-0.008002089707011854
-1339.826,0.2918611270628844,7.030570610155175,0.03380781303514009,-0.008186909176587768
-1339.826,0.295750408385388,6.973743126058169,0.03379816028220948,-0.00837269491702061
5.2,0.2996366013557267,6.918277563143733,0.07379816028220948,0.1916273050829794
-1339.626,0.3035195347235294,6.864120578085654,0.03379816028220947,-0.008372694917020612
-1339.626,0.30739904141364965,6.8112217113125375,0.03376802671261011,-0.008935856494726054
-1339.526,0.31127495827423873,6.759533189618136,0.03375758866310238,-0.00912559809233626
-1339.526,0.3151471258436254,6.709009745037083,0.033746950384308166,-0.00931642203324766
5.6,0.31901538813441804,6.659608448425386,0.07374695038430817,0.19068357796675234
-1339.326,0.3228795924333879,6.611288556355325,0.033746950384308166,-0.009316422033247673
-1339.326,0.32673958911582773,6.564011370083891,0.033713850387171986,-0.009895405104420973
5.7,0.3305952314732016,6.517740105485469,0.07371385038717199,0.19010459489557904
5.8,0.33444637555301165,6.472439772955421,0.09199001279247038,0.390104594895579
5.9,0.3382928800099001,6.4280770663936435,0.09309893026502158,0.590104594895579
-1339.026,0.34213460596709827,6.384620260467782,0.05309893026502158,0.39010459489557897
-1339.026,0.34597141688741234,6.342039115436091,0.03365469304387292,0.19010459489557896
6.0,0.3498031784530005,6.300304788881207,0.07365469304387293,0.39010459489557897
-1338.826,0.35362975845327127,6.2593897537695415,0.03365469304387292,0.19010459489557896
-1338.826,0.35745102668028184,6.219267722307395,0.03361678757297856,-0.009895405104421051
-1338.726,0.3612668548310716,6.179913575115345,0.03360374895142189,-0.011697324943154725
-1338.726,0.3650771164164167,6.141303295287399,0.0335905041326253,-0.011904139895444277
6.1,33.36465135906832,7.1409516721381365,-0.006409495867374708,-0.2119041398954443
6.2,33.36293936695316,7.9965954468225995,-0.046409495867374716,-0.4119041398954443
6.5,33.3612285284405,8.751251714681647,-0.08640949586737473,-0.6119041398954443
6.6,194.7841517608008,22.96409503955326,-0.04640949586737472,-0.41190413989544433
6.7,194.78274700153497,31.10469797167157,-0.006409495867374715,-0.21190413989544432
6.8,194.78134249261882,37.381978843729925,0.03359050413262529,-0.01190413989544431
6.9,194.77993823670406,42.63136368716509,0.0735905041326253,0.1880958601045557
7.0,194.77853423647804,47.20065523118601,0.11359050413262531,0.3880958601045557
7.1,194.7771304946644,51.27514387185013,0.15359050413262532,0.5880958601045557
7.2,194.77572701402417,54.96777617354719,0.19359050413262532,0.7880958601045558
7.3,194.7743237973565,58.35361272869002,0.23359050413262533,0.9880958601045557
7.4,194.77292084749953,61.485647448430754,0.25,1.1880958601045557
7.5,194.7715181673316,64.4030111637628,0.25,1.3880958601045557
7.6,194.77011575977184,67.13561598451716,0.25,1.5
7.7,194.76871362778135,69.70696556363669,0.25,1.5
7.8,194.7673117743641,72.13594698151867,0.25,1.5
