Time (s),Error (m),Avg Error (m),v (m/s),w (rad/s)
0.0,0.12072488241036283,0.12072488241036283,0.02671930998304775,3.85
0.1,0.15209101535746472,0.13640794888391378,0.06570627959866714,3.85
0.2,0.18388145899947425,0.1522324522557673,0.10455359599257505,3.85
0.3,0.21586612183549217,0.1681408696506985,0.1434806595138999,3.85
0.4,0.24785250135304573,0.18408319599116793,0.18232234860522806,3.85
0.5,0.2797367531913692,0.2000254555245348,0.2212126635331301,3.85
0.6,0.3114520180772523,0.21594353588920873,0.26007921170046006,3.85
0.7,0.3429259739335129,0.23181634064474674,0.29889147375205,3.85
0.8,0.37408792689073106,0.2476242946720783,0.33,3.85
0.8,0.37408275263164276,0.26027014046803476,0.33,3.85
0.9,0.40489482105792196,0.273417838703479,0.33,3.85
1.0,0.4353254985244432,0.2869101436885594,0.33,3.85
1.1,0.46528817916279125,0.3006315310327311,0.33,3.85
1.2,0.49473304924851536,0.3144959251910014,0.33,3.85
1.3,0.5236394212991056,0.32843882493154164,0.33,3.85
1.4,0.551930375151285,0.34240704682027556,0.33,3.85
1.5,0.5796028782824411,0.35635974278863825,0.33,3.85
1.6,0.6065694395191016,0.3702602814958862,0.33,3.85
1.7,0.6328322667178683,0.38407985966546415,0.33,3.85
1.7,0.632836348799515,0.3965176841221667,0.33,3.85
1.8,0.6583397249767564,0.40898540035333764,0.33,3.85
1.9,0.6830410541386676,0.4214424755253981,0.33,3.85
1.9,0.6830448824738826,0.4328164932188105,0.33,3.85
2.0,0.7069361104172304,0.4442381439354113,0.33,3.85
2.1,0.7299476425244991,0.45566652387897477,0.33,3.85
2.2,0.7520953655007842,0.4670676331721213,0.33,3.85
2.3,0.7732997244240355,0.47840956247774774,0.33,3.85
2.4,0.7935801792363135,0.48966565593341077,0.33,3.85
2.5,0.8128816759778387,0.5008110359349428,0.33,3.85
2.6,0.8311896274781286,0.511823655653049,0.33,3.85
2.7,0.8484996188919791,0.5226841705962402,0.33,3.85
2.8,0.8647603631152524,0.5333740516124593,0.33,3.85
2.9,0.8799988630367275,0.5438778337768311,0.33,3.85
3.0,0.8941536065690363,0.5541800623883666,0.33,3.85
3.1,0.9072533961635355,0.5642678719248,0.33,3.85
3.1,0.9072576280429331,0.5737953651503038,0.33,3.85
3.2,0.9192799106611013,0.5831327852992442,0.33,3.85
3.2,0.9192750999628237,0.5919786356851279,0.33,3.85
3.3,0.9302001927418689,0.6006509833019674,0.33,3.85
3.4,0.9400458441868346,0.609135854824089,0.33,3.85
3.5,0.9487855531551209,0.6174199938077728,0.33,3.85
3.6,0.9564550008154092,0.6254922558793832,0.33,3.85
3.7,0.9630109199929093,0.6333415271378373,0.33,3.85
3.8,0.9685102807110306,0.6409589988099553,0.33,3.85
3.9,0.9729289230107577,0.6483361082366399,0.33,3.85
4.0,0.976280846991508,0.6554653416878327,0.33,3.85
4.1,0.9785977660905822,0.6623404996538487,0.33,3.85
4.1,0.9785979202817726,0.6689291959169305,0.33,3.85
4.1,0.9785950965892632,0.6752489081755495,0.33,3.85
4.3,0.980157642182748,0.6813470828556935,0.33,3.85
4.4,0.979436701607331,0.6871919773410198,0.33,3.85
4.4,0.9794317000053425,0.6928119720076413,0.33,3.85
4.5,0.9777702492983464,0.6981885432772772,0.33,3.85
4.6,0.9751692107860624,0.7033178148978103,0.33,3.85
4.7,0.971663251038305,0.7081968228276375,0.33,3.85
4.8,0.9673043119951611,0.7128237422770577,0.33,3.7986509325629796
4.8,0.9673048326999705,0.717288322810793,0.33,3.7986094071840575
4.9,0.9621016399519909,0.7215092420718482,0.33,3.740044083719208
5.0,0.9561364429382404,0.7254859742899226,0.33,3.6778656523605666
5.1,0.9494043253970692,0.7292179468083749,0.33,3.613295115004149
5.2,0.9419972539503296,0.7327061321713578,0.33,3.5452415625093856
5.3,0.9339382114073873,0.7359518108687131,0.33,3.474216948934682
5.4,0.9252832776498291,0.7389570722461912,0.33,3.400397749242803
5.5,0.9161065474594283,0.741725032796398,0.33,3.322295560479501
5.6,0.9064312500928443,0.7442589746009587,0.33,3.2415261089693086
5.7,0.8963669424109203,0.7465636407798976,0.33,3.156224720893045
5.8,0.8859291250092319,0.7486437226340668,0.33,3.0673213326267184
5.9,0.8752270753501529,0.7505052425269504,0.33,2.97427627086786
6.0,0.8643064844779232,0.7521545358885586,0.33,2.876755296378588
6.1,0.8532438278458822,0.753598668630806,0.33,2.775506046345196
6.2,0.8421288999411723,0.7548455732971493,0.33,2.668996357680343
6.3,0.8310022637069842,0.755903305108397,0.33,2.558515108476211
6.4,0.819981948955915,0.7567810947501438,0.33,2.443309284013801
6.4,0.8199874612604805,0.7576352348381213,0.33,2.4432788181867875
6.5,0.8091213083353445,0.7583217158180843,0.33,2.3232928165196944
6.6,0.7985142941381654,0.7588505655328222,0.33,2.1992506409115236
6.7,0.7882216719287171,0.7592320084730286,0.33,2.0697962845662587
6.8,0.7783328392745564,0.759476890919202,0.33,1.9366045267325442
6.9,0.7689283602820823,0.7595965297718967,0.33,1.7985660005057353
7.0,0.7600447751556401,0.7596021328391935,0.33,1.6564929891565123
7.1,0.7517968034571365,0.759505770748057,0.33,1.5105303679291218
7.2,0.7442072023907729,0.759319202841261,0.33,1.3603246074377322
7.3,0.7373534719956492,0.7590545554816752,0.33,1.2077521109611107
7.3,0.7373576846897624,0.7587962594008191,0.33,1.2078268141695125
7.4,0.7312829011361894,0.758472572833,0.33,1.0515548607326073
7.5,0.726026737009213,0.7580952956722582,0.33,0.8931070017885384
7.6,0.7216273791294238,0.7576761242177429,0.33,0.7331270920115268
7.7,0.7180738147530168,0.7572260979738256,0.33,0.571351501369837
7.7,0.7180741836880341,0.756786188824547,0.33,0.571289750552855
7.8,0.7154218400197875,0.7563265849489385,0.33,0.4096864911387173
7.9,0.7136314006216461,0.755857407099188,0.33,0.24718413931430935
8.0,0.7127140794214454,0.7553884578852995,0.33,0.0857725303334052
8.1,0.7126345295751333,0.7549287382260503,0.33,-0.07423687401001577
8.2,0.7133524239212495,0.7544864370100419,0.33,-0.2332220090447037
8.2,0.7133663352480889,0.7540535938336002,0.33,-0.2333012163668403
8.3,0.7148655904045665,0.7536453854645478,0.33,-0.38954533598597013
8.4,0.7170608064360867,0.7532682248560069,0.33,-0.5431585153281833
8.5,0.7199250514352176,0.7529279883925294,0.33,-0.693921836404451
8.5,0.7199276622751924,0.7525946517650816,0.33,-0.6939205568570597
8.6,0.7233729395219669,0.7523024346426505,0.33,-0.8406013033238743
8.7,0.7273387615626655,0.7520552695626506,0.33,-0.983475344029471
8.7,0.7273404253028386,0.7518129671679465,0.33,-0.9835344242947293
8.8,0.7317439660392131,0.7516181224967938,0.33,-1.1219040753760428
8.9,0.7365152952881757,0.7514729030044033,0.33,-1.255841028353344
9.0,0.7415700724381417,0.7513785903323436,0.33,-1.3857813443658424
9.1,0.7468068948503294,0.751335461129683,0.33,-1.5102817037264433
9.2,0.7521726093752654,0.7513432849450623,0.33,-1.6306057733091297
9.3,0.7575715329769589,0.7514009539083205,0.33,-1.7457189496870023
9.4,0.7629185617454716,0.7515066200352668,0.33,-1.8561460671401346
9.5,0.7681405951161823,0.7516578379905479,0.33,-1.9620895492961568
9.6,0.7731654433201985,0.7518516002007248,0.33,-2.0626626442735385
9.7,0.7779117396300732,0.7520842800170583,0.33,-2.159609585991602
9.7,0.777915498969984,0.7523128748750488,0.33,-2.1595840379852658
9.8,0.7823048911975935,0.7525759627375274,0.33,-2.2510050248977307
9.9,0.786296324510995,0.752869183274688,0.33,-2.3386857630810893
