Time (s),Inst_Error (m),RMS_Error (m),v (m/s),w (rad/s)
0.1,5.98202897550955,5.98202897550955,-0.04000000000000001,-0.015406695859322608
0.2,5.98159612290284,5.981812553121425,-0.08000000000000002,0.0023082890878207384
0.3,5.978738546092924,5.9807880596651435,-0.12000000000000002,0.020961291742646784
0.4,5.96487762573682,5.976814421870467,-0.16000000000000003,0.04162461522222108
0.5,5.964010797768065,5.97425589223979,-0.20000000000000004,0.0628310021253745
0.6,5.952980123813787,5.9707151956351545,-0.24000000000000005,0.08563582743544591
0.7,5.923229906893776,5.963954730764431,-0.25,0.11173176041003173
0.8,5.921925172845973,5.958717248358061,-0.25,0.1376629366976532
0.9,5.887409540107028,5.9508363656808045,-0.25,0.16907000219052654
1.0,5.8858099598215174,5.944365735241367,-0.25,0.1992526313887365
1.1,5.868074781257424,5.937470701030453,-0.25,0.23504036644739842
1.2,5.850834516135156,5.930299360886319,-0.25,0.27407732489569286
1.3,5.833703607730364,5.92292484854459,-0.25,0.3188733758417707
1.4,5.802169623155674,5.914381239435793,-0.25,0.37533519029427503
1.5,5.799824907647899,5.906813270536738,-0.25,0.4231137768768681
1.6,5.783651177627734,5.899190972812016,-0.25,0.48442856872140183
1.7,5.768423478135829,5.891579113009352,-0.25,0.5523713730043824
1.8,5.753974530174914,5.884018838516555,-0.25,0.6260374060346056
1.9,5.740301419129834,5.876542390317549,-0.25,0.7040163409802838
2.0,5.728091076349954,5.86920900214732,-0.25,0.7865183679922872
2.1,5.711375725396623,5.861789499617691,-0.25,0.8782693668633806
2.2,5.703646195203494,5.854693838802456,-0.25,0.9529463459506036
2.3,5.700084602333399,5.8480566942778,-0.25,1.0264701018892657
2.4,5.693995529996154,5.841718598380054,-0.21,1.0904411461716215
2.5,5.690081570284866,5.835728769092414,-0.16999999999999998,1.1497362671099876
2.6,5.688229973491649,5.830124741018215,-0.12999999999999998,1.2000570995962083
2.7,5.691587884732527,5.82505250188161,-0.08999999999999997,1.1394194019451263
2.8,5.687862797851246,5.820208552806287,-0.04999999999999996,1.2526805177488984
2.9,5.688001921099545,5.815699734348387,-0.009999999999999953,1.25528546655741
3.0,5.68720205065698,5.811462253649805,0.030000000000000054,1.2178548660997073
3.1,5.68450678719933,5.8074102361568745,0.07000000000000006,1.0178548660997073
3.2,5.681412987074163,5.803514228226571,0.11000000000000007,0.8178548660997074
3.3,5.673185736735686,5.799607910244439,0.15000000000000008,0.6178548660997074
3.4,5.650077902976186,5.7952650384108075,0.19000000000000009,0.4178548660997074
3.5,5.646371644398431,5.791064067463082,0.2300000000000001,0.2178548660997074
3.6,5.609207048990257,5.786089664708353,0.25,0.017854866099707378
3.7,5.605512661430316,5.781283365629519,0.25,-0.008540107505731052
3.8,5.580198037492629,5.776081334681903,0.25,-0.013240063612246795
3.9,5.55458361655346,5.770508112938316,0.25,-0.013026628699418502
4.0,5.5290237788854615,5.76459429475629,0.25,-0.011216443622117041
4.1,5.481736420008408,5.757860649250996,0.25,-0.006701886501123045
4.2,5.478077897041861,5.751357328305778,0.25,-0.008050093023075421
4.3,5.452688282329675,5.744587900807019,0.25,-0.007777645634117085
4.4,5.427351128301356,5.737572769837801,0.25,-0.0073569617783537464
4.5,5.380516589317531,5.72987992019229,0.25,-0.00466192903768359
4.6,5.37688982895426,5.722437759124998,0.25,-0.006150407262770347
4.7,5.351714429321635,5.714800432206891,0.25,-0.0065703502706269505
4.8,5.32659053665365,5.706982079367992,0.25,-0.006768186622980564
4.9,5.301519457926974,5.698995690910299,0.25,-0.006889227164752501
5.0,5.255122799941032,5.690457552795125,0.25,-0.005477660005268106
5.1,5.2515396365513265,5.682177203830745,0.25,-0.0071384187845793395
5.2,5.226631891638497,5.6737616532547905,0.25,-0.007589659659622423
