Time (s),Error (m),Avg Error (m),v (m/s),w (rad/s)
0.1,0.8218441038622272,0.8218441038622272,-0.33,-1.9338802648464175
0.2,0.7931575879598103,0.8075008459110187,-0.33,-1.3776816083302639
0.3,0.7520536347846515,0.7890184422022296,-0.33,-0.6454248152230205
0.4,0.710026934927333,0.7692705653835055,-0.33,-0.19946699969824036
0.5,0.6688797976582133,0.749192411838447,-0.33,0.07602332851629305
0.6,0.6293987360303414,0.7292267992037628,-0.33,0.2676288264222291
0.7,0.5918770670160491,0.7096054088912321,-0.33,0.407905717949499
0.8,0.5564270136041229,0.6904581094803435,-0.33,0.5165361213077699
0.9,0.5232343323948525,0.6718776898041778,-0.33,0.604353711383141
1.0,0.49241871657481695,0.6539317924812418,-0.33,0.6781787453534887
1.1,0.4640380740848385,0.6366687271724778,-0.33,0.7413799876690442
1.2,0.438110176553574,0.6201221812875691,-0.33,0.7954547163544619
1.3,0.41459425852089515,0.6043123410747481,-0.33,0.8405302447890581
1.4,0.39338496155013747,0.589246099680133,-0.33,0.8758982231503212
1.5,0.374311113545875,0.5749171006045158,-0.33,0.9004795506770233
1.6,0.3571406352937748,0.5613060715225945,-0.33,0.9132333669482624
1.7,0.3415917067328517,0.5483816971231978,-0.33,0.913469880822547
1.8,0.32734875324269774,0.5361020891298367,-0.33,0.9010578607093351
1.9,0.31408095515499734,0.5244167662890556,-0.33,0.8765022355387254
2.0,0.30146046478768496,0.5132689512139871,-0.33,0.840896530156606
2.1,0.2891777969522406,0.5025979438681896,-0.33,0.7957763292603315
2.2,0.2769528373534368,0.492341348117519,-0.33,0.742916051485738
2.3,0.2645411790618204,0.4824369929411843,-0.33,0.6841168434571601
2.4,0.2517364161899682,0.47282446890988367,-0.33,0.6210214434104686
2.5,0.23836942648350998,0.4634462672128287,-0.33,0.554970497050697
2.6,0.22430573049780334,0.45424855426225086,-0.33,0.4868947743017516
2.7,0.20944194144550432,0.44518164267644544,-0.33,0.4172253110641244
2.8,0.19370169195910028,0.43620021586511165,-0.33,0.3448618153169681
2.9,0.1770341569954929,0.42726345521443515,-0.33,0.2708793891886701
3.0,0.15941153670833633,0.41833505793089854,-0.33,0.19229956393953931
3.1,0.14082902653134677,0.40938325046639684,-0.33,0.10544381312152899
3.2,0.12130884217673925,0.4003809252073451,-0.33,0.0037663985934544464
3.3,0.10096402725040385,0.39130768587531656,-0.3027225392359975,-0.1338414398113579
3.4,0.0820878890376876,0.3822129859683275,-0.2455157303724406,-0.3118295232212565
3.5,0.06788727444103505,0.373232251353262,-0.20182043497130692,-0.5382953573476894
