Time (s),Error (m),Avg Error (m),v (m/s),w (rad/s)
0.0,0.10000305205566105,0.10000305205566105,-3.610007961678888e-06,-3.85
0.0,0.10000305205566105,0.10000305205566105,-3.610007961678888e-06,-3.85
0.0,0.10000305205566105,0.10000305205566105,-3.610007961678888e-06,-3.85
0.0,0.10000305205566105,0.10000305205566105,-3.610007961678888e-06,-3.85
0.1,0.13015656009461693,0.10603375366345222,0.043955388204245535,3.85
0.1,0.13015656009461693,0.11005422140197968,0.043955388204245535,3.85
0.1,0.13015656009461693,0.11292598407235643,0.043955388204245535,3.85
0.1,0.13015656009461693,0.115079806075139,0.043955388204245535,3.85
0.1,0.13015656009461693,0.11675500096619211,0.043955388204245535,3.85
0.2,0.1613050484329642,0.1212100057128693,0.08790433824349562,3.85
0.2,0.1613050484329642,0.12485500959651429,0.08790433824349562,3.85
0.2,0.1613050484329642,0.1278925128328851,0.08790433824349562,3.85
0.2,0.1613050484329642,0.13046270787904504,0.08790433824349562,3.85
0.2,0.1613050484329642,0.13266573220432495,0.08790433824349562,3.85
0.3,0.19286824455816728,0.13667923302791443,0.1317599703207506,3.85
0.3,0.19286824455816728,0.14019104624855525,0.1317599703207506,3.85
0.3,0.19286824455816728,0.14328970497265006,0.1317599703207506,3.85
0.3,0.19286824455816728,0.14604406828295657,0.1317599703207506,3.85
0.3,0.19286824455816728,0.14850849861323084,0.1317599703207506,3.85
0.4,0.224582568260353,0.15231220209558693,0.17555025137437905,3.85
0.4,0.224582568260353,0.15575364810343292,0.17555025137437905,3.85
0.4,0.224582568260353,0.15888223538329294,0.17555025137437905,3.85
0.4,0.224582568260353,0.161738771595339,0.17555025137437905,3.85
0.4,0.224582568260353,0.1643572631230479,0.17555025137437905,3.85
0.5,0.2562951819005855,0.16803477987414944,0.21939594947221763,3.85
0.5,0.2562951819005855,0.17142941072132006,0.21939594947221763,3.85
0.5,0.2562951819005855,0.17457258743166323,0.21939594947221763,3.85
0.5,0.2562951819005855,0.17749125151983905,0.21939594947221763,3.85
0.5,0.2562951819005855,0.18020862842951998,0.21939594947221763,3.85
0.6,0.2879006174025523,0.18379836139528774,0.2631437368874092,3.85
0.6,0.2879006174025523,0.18715649868584466,0.2631437368874092,3.85
0.6,0.2879006174025523,0.1903047523957418,0.2631437368874092,3.85
0.6,0.2879006174025523,0.19326220285049364,0.2631437368874092,3.85
0.6,0.2879006174025523,0.19604568563143654,0.2631437368874092,3.85
0.7,0.3192441544520245,0.19956564188345335,0.30655285441491203,3.85
0.7,0.3192441544520245,0.20289004501035812,0.30655285441491203,3.85
0.7,0.3192441544520245,0.2060347506709437,0.30655285441491203,3.85
0.7,0.3192441544520245,0.20901394550728794,0.30655285441491203,3.85
0.7,0.3192441544520245,0.21184036112125554,0.30655285441491203,3.85
0.8,0.35032060629698697,0.21530236725064883,0.33,3.85
0.8,0.35032060629698697,0.21859549503226686,0.33,3.85
0.8,0.35032060629698697,0.22173180720523641,0.33,3.85
0.8,0.35032060629698697,0.22472224439341668,0.33,3.85
0.8,0.35032060629698697,0.22757675261849783,0.33,3.85
0.9,0.38107058716426934,0.23098772671951495,0.33,3.85
0.9,0.38107058716426934,0.23425039759874872,0.33,3.85
0.9,0.38107058716426934,0.2373742314192917,0.33,3.85
0.9,0.38107058716426934,0.24036790549731205,0.33,3.85
0.9,0.38107058716426934,0.2432393887966377,0.33,3.85
1.0,0.41143449836376234,0.2466032909879802,0.33,3.85
1.0,0.41143449836376234,0.24983527544632886,0.33,3.85
1.0,0.41143449836376234,0.2529429528101257,0.33,3.85
1.0,0.41143449836376234,0.2559333593300056,0.33,3.85
1.0,0.41143449836376234,0.25881301005285295,0.33,3.85
1.1,0.4413368223792628,0.2621316248224241,0.33,3.85
